trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2020/4/17,SPF,-,-,-,-,0,2863.5,1,202103
2020/4/20,SPF,-,-,-,-,0,2842.25,1,202103
2020/4/21,SPF,-,-,-,-,0,2775.25,1,202103
2020/4/22,SPF,-,-,-,-,0,2731.75,1,202103
2020/4/23,SPF,-,-,-,-,0,2774.5,1,202103
2020/4/24,SPF,-,-,-,-,0,2745,1,202103
2020/4/27,SPF,-,-,-,-,0,2842,1,202103
2020/4/28,SPF,-,-,-,-,0,2846.5,1,202103
2020/4/29,SPF,-,-,-,-,0,2885.5,1,202103
2020/4/30,SPF,-,-,-,-,0,2941.5,1,202103
2020/5/4,SPF,-,-,-,-,0,2784.75,1,202103
2020/5/5,SPF,-,-,-,-,0,2831.75,1,202103
2020/5/6,SPF,2866.75,2866.75,35,1.24%,1,2858.5,2,202103
2020/5/7,SPF,-,-,-,-,0,2835.75,2,202103
2020/5/8,SPF,-,-,-,-,0,2897,2,202103
2020/5/11,SPF,-,-,-,-,0,2919,2,202103
2020/5/12,SPF,-,-,-,-,0,2896,2,202103
2020/5/13,SPF,-,-,-,-,0,2841,2,202103
2020/5/14,SPF,-,-,-,-,0,2790,2,202103
2020/5/15,SPF,-,-,-,-,0,2836.25,2,202103
2020/5/18,SPF,-,-,-,-,0,2863.25,2,202103
2020/5/19,SPF,-,-,-,-,0,2929.5,2,202103
2020/5/20,SPF,-,-,-,-,0,2918.5,2,202103
2020/5/21,SPF,-,-,-,-,0,2936.5,2,202103
2020/5/22,SPF,-,-,-,-,0,2814.5,2,202103
2020/5/25,SPF,-,-,-,-,0,2949,2,202103
2020/5/26,SPF,-,-,-,-,0,2989.25,2,202103
2020/5/27,SPF,-,-,-,-,0,3000.75,2,202103
2020/5/28,SPF,-,-,-,-,0,3026.25,2,202103
2020/5/29,SPF,-,-,-,-,0,3018,2,202103
2020/6/1,SPF,-,-,-,-,0,3027,2,202103
2020/6/2,SPF,-,-,-,-,0,3032.5,2,202103
2020/6/3,SPF,-,-,-,-,0,3072.5,2,202103
2020/6/4,SPF,-,-,-,-,0,3095,2,202103
2020/6/5,SPF,-,-,-,-,0,3110,2,202103
2020/6/8,SPF,-,-,-,-,0,3176,2,202103
2020/6/9,SPF,-,-,-,-,0,3208.25,2,202103
2020/6/10,SPF,-,-,-,-,0,3208.5,2,202103
2020/6/11,SPF,-,-,-,-,0,3126,2,202103
2020/6/12,SPF,-,-,-,-,0,3027.75,2,202103
2020/6/15,SPF,-,-,-,-,0,2946.5,2,202103
2020/6/16,SPF,-,-,-,-,0,3101,2,202103
2020/6/17,SPF,-,-,-,-,0,3104,2,202103
2020/6/18,SPF,-,-,-,-,0,3080.25,2,202103
2020/6/19,SPF,-,-,-,-,0,3096,2,202103
2020/6/22,SPF,-,-,-,-,0,3067.5,2,202103
2020/6/23,SPF,-,-,-,-,0,3104,2,202103
2020/6/24,SPF,-,-,-,-,0,3116.5,2,202103
2020/6/29,SPF,-,-,-,-,0,3003,2,202103
2020/6/30,SPF,-,-,-,-,0,3038.5,2,202103
2020/7/1,SPF,-,-,-,-,0,3071.25,2,202103
2020/7/2,SPF,-,-,-,-,0,3097,3,202103
2020/7/3,SPF,-,-,-,-,0,3115.25,3,202103
2020/7/6,SPF,-,-,-,-,0,3157.5,3,202103
2020/7/7,SPF,-,-,-,-,0,3157,3,202103
2020/7/8,SPF,-,-,-,-,0,3133,3,202103
2020/7/9,SPF,-,-,-,-,0,3153.25,3,202103
2020/7/10,SPF,-,-,-,-,0,3108.5,3,202103
2020/7/13,SPF,-,-,-,-,0,3189.75,4,202103
2020/7/14,SPF,-,-,-,-,0,3147.25,4,202103
2020/7/15,SPF,-,-,-,-,0,3203.25,4,202103
2020/7/16,SPF,-,-,-,-,0,3192,4,202103
2020/7/17,SPF,-,-,-,-,0,3196,4,202103
2020/7/20,SPF,-,-,-,-,0,3196.5,4,202103
2020/7/21,SPF,3204.25,3204.25,7.75,0.24%,5,3204.25,9,202103
2020/7/22,SPF,-,-,-,-,0,3198,9,202103
2020/7/23,SPF,-,-,-,-,0,3214.5,9,202103
2020/7/24,SPF,-,-,-,-,0,3161,9,202103
2020/7/27,SPF,-,-,-,-,0,3164,9,202103
2020/7/28,SPF,-,-,-,-,0,3176.5,9,202103
2020/7/29,SPF,-,-,-,-,0,3191.75,9,202103
2020/7/30,SPF,-,-,-,-,0,3232,9,202103
2020/7/31,SPF,-,-,-,-,0,3235,9,202103
2020/8/3,SPF,-,-,-,-,0,3250.5,10,202103
2020/8/4,SPF,-,-,-,-,0,3274,11,202103
2020/8/5,SPF,-,-,-,-,0,3288,11,202103
2020/8/6,SPF,-,-,-,-,0,3305,11,202103
2020/8/7,SPF,-,-,-,-,0,3312.5,11,202103
2020/8/10,SPF,-,-,-,-,0,3338,11,202103
2020/8/11,SPF,-,-,-,-,0,3346.5,11,202103
2020/8/12,SPF,-,-,-,-,0,3318,10,202103
2020/8/13,SPF,-,-,-,-,0,3353.5,10,202103
2020/8/14,SPF,-,-,-,-,0,3358.5,10,202103
2020/8/17,SPF,-,-,-,-,0,3355,10,202103
2020/8/18,SPF,-,-,-,-,0,3365.75,10,202103
2020/8/19,SPF,-,-,-,-,0,3375.25,10,202103
2020/8/20,SPF,-,-,-,-,0,3338,10,202103
2020/8/21,SPF,-,-,-,-,0,3375,10,202103
2020/8/24,SPF,3348,3348,-27,-0.80%,1,3371,10,202103
2020/8/25,SPF,-,-,-,-,0,3412.5,10,202103
2020/8/26,SPF,-,-,-,-,0,3412.25,10,202103
2020/8/27,SPF,-,-,-,-,0,3443.25,13,202103
2020/8/28,SPF,-,-,-,-,0,3473.25,13,202103
2020/8/31,SPF,-,-,-,-,0,3486.75,13,202103
2020/9/1,SPF,-,-,-,-,0,3472,12,202103
2020/9/2,SPF,-,-,-,-,0,3509.5,12,202103
2020/9/3,SPF,-,-,-,-,0,3541.25,12,202103
2020/9/4,SPF,-,-,-,-,0,3417.25,12,202103
2020/9/7,SPF,-,-,-,-,0,3372.75,12,202103
2020/9/8,SPF,-,-,-,-,0,3399.5,12,202103
2020/9/9,SPF,-,-,-,-,0,3320,12,202103
2020/9/10,SPF,-,-,-,-,0,3371.75,12,202103
2020/9/11,SPF,-,-,-,-,0,3335.25,12,202103
2020/9/14,SPF,3340,3340,4.75,0.14%,1,3340,12,202103
2020/9/15,SPF,-,-,-,-,0,3362,12,202103
2020/9/16,SPF,-,-,-,-,0,3377.75,12,202103
2020/9/17,SPF,-,-,-,-,0,3321.25,12,202103
2020/9/18,SPF,-,-,-,-,0,3331.75,14,202103
2020/9/21,SPF,3310.75,3300.5,-31.25,-0.94%,64,3278.75,34,202103
2020/9/22,SPF,3276,3258.5,-20.25,-0.62%,34,3258.5,63,202103
2020/9/23,SPF,3287.75,3297.75,39.25,1.20%,44,3297.75,46,202103
2020/9/24,SPF,3224,3212.75,-85,-2.58%,139,3212.75,20,202103
2020/9/25,SPF,3245.5,3248.75,36,1.12%,45,3248.75,41,202103
2020/9/28,SPF,3289.25,3289.25,40.5,1.25%,11,3289.25,22,202103
2020/9/29,SPF,3348.5,3348.5,59.25,1.80%,11,3348.5,40,202103
2020/9/30,SPF,3333,3308.25,-40.25,-1.20%,84,3308.25,70,202103
2020/10/5,SPF,3353.5,3353.5,45.25,1.37%,1,3353.5,48,202103
2020/10/6,SPF,3382.25,3388.25,34.75,1.04%,22,3388.25,47,202103
2020/10/7,SPF,3335,3352,-36.25,-1.07%,35,3352,49,202103
2020/10/8,SPF,3408,3408,56,1.67%,11,3408,38,202103
2020/10/12,SPF,3458.5,3475.25,67.25,1.97%,23,3475.25,43,202103
2020/10/13,SPF,3517.75,3517.75,42.5,1.22%,1,3517.75,32,202103
2020/10/14,SPF,3499.75,3507.25,-10.5,-0.30%,33,3507.25,35,202103
2020/10/15,SPF,3468.75,3460.25,-47,-1.34%,34,3460.25,34,202103
2020/10/16,SPF,3480.25,3480.25,20,0.58%,11,3480.25,60,202103
2020/10/19,SPF,3471.5,3477.25,-3,-0.09%,12,3477.25,49,202103
2020/10/20,SPF,3434.5,3423.5,-53.75,-1.55%,58,3423.5,47,202103
2020/10/21,SPF,3435.25,3442,18.5,0.54%,23,3436.5,39,202103
2020/10/22,SPF,3404,3404,-32.5,-0.95%,6,3404,27,202103
2020/10/23,SPF,-,-,-,-,0,3434.75,35,202103
2020/10/26,SPF,3431,3424.5,-10.25,-0.30%,22,3424.5,34,202103
2020/10/27,SPF,-,-,-,-,0,3391.75,33,202103
2020/10/28,SPF,-,-,-,-,0,3357.75,33,202103
2020/10/29,SPF,-,-,-,-,0,3290.5,30,202103
2020/10/30,SPF,3265.25,3261.5,-29,-0.88%,23,3240,30,202103
2020/11/2,SPF,3243,3260,20,0.62%,109,3260,55,202103
2020/11/3,SPF,3307.25,3304.5,44.5,1.37%,32,3304.5,28,202103
2020/11/4,SPF,3353.5,3369,64.5,1.95%,505,3369,67,202103
2020/11/5,SPF,3431,3455,86,2.55%,182,3455,81,202103
