trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2017/7/21,SPF,-,-,-,-,0,2460.75,2,201809
2017/7/24,SPF,2466.25,2465.5,-5.5,-0.22%,22,2465.5,416,201709
2017/7/24,SPF,-,-,-,-,0,2455.25,2,201809
2017/7/25,SPF,2468,2468,2.5,0.10%,13,2468,420,201709
2017/7/25,SPF,-,-,-,-,0,2457.75,2,201809
2017/7/26,SPF,2474.25,2473.5,5.5,0.22%,34,2473.5,432,201709
2017/7/26,SPF,-,-,-,-,0,2463.25,2,201809
2017/7/27,SPF,2477.75,2478.25,4.75,0.19%,39,2478.25,435,201709
2017/7/27,SPF,-,-,-,-,0,2468,2,201809
2017/7/28,SPF,2466.25,2464.5,-13.75,-0.55%,38,2464.5,427,201709
2017/7/28,SPF,-,-,-,-,0,2454.25,2,201809
2017/7/31,SPF,2466.75,2468,3.5,0.14%,11,2468,412,201709
2017/7/31,SPF,-,-,-,-,0,2457.75,2,201809
2017/8/1,SPF,2473,2473.5,5.5,0.22%,14,2473.5,397,201709
2017/8/1,SPF,-,-,-,-,0,2463.25,2,201809
2017/8/2,SPF,2472,2475.5,2,0.08%,8,2475.5,383,201709
2017/8/2,SPF,2472.25,2472.25,9,0.37%,1,2472.25,1,201809
2017/8/3,SPF,2472.25,2471.5,-4,-0.16%,19,2471.5,384,201709
2017/8/3,SPF,-,-,-,-,0,2468.25,1,201809
2017/8/4,SPF,2470.5,2471.25,-0.25,-0.01%,11,2471.25,377,201709
2017/8/4,SPF,-,-,-,-,0,2468,1,201809
2017/8/7,SPF,2476.5,2477,5.75,0.23%,6,2477,379,201709
2017/8/7,SPF,-,-,-,-,0,2473.75,1,201809
2017/8/8,SPF,2476,2474.75,-2.25,-0.09%,5,2474.75,390,201709
2017/8/8,SPF,-,-,-,-,0,2471.5,1,201809
2017/8/9,SPF,2473,2466,-8.75,-0.35%,24,2466,394,201709
2017/8/9,SPF,-,-,-,-,0,2462.75,1,201809
2017/8/10,SPF,2472,2467.25,1.25,0.05%,50,2467.25,390,201709
2017/8/10,SPF,-,-,-,-,0,2464,1,201809
2017/8/11,SPF,2436,2435.25,-32,-1.30%,94,2435.25,332,201709
2017/8/11,SPF,-,-,-,-,0,2432,1,201809
2017/8/14,SPF,2448.75,2448,12.75,0.52%,29,2448,334,201709
2017/8/14,SPF,-,-,-,-,0,2444.75,1,201809
2017/8/15,SPF,2470.75,2468.75,20.75,0.85%,66,2468.75,359,201709
2017/8/15,SPF,-,-,-,-,0,2465.5,1,201809
2017/8/16,SPF,2462.75,2462.75,-6,-0.24%,7,2462.75,356,201709
2017/8/16,SPF,-,-,-,-,0,2459.5,1,201809
2017/8/17,SPF,2463.5,2465.25,2.5,0.10%,50,2465.25,357,201709
2017/8/17,SPF,-,-,-,-,0,2462,1,201809
2017/8/18,SPF,2430,2433.5,-31.75,-1.29%,60,2433.5,303,201709
2017/8/18,SPF,-,-,-,-,0,2430.25,1,201809
2017/8/21,SPF,2426,2425,-8.5,-0.35%,45,2425,252,201709
2017/8/21,SPF,-,-,-,-,0,2421.75,1,201809
2017/8/22,SPF,2432,2433.5,8.5,0.35%,43,2433.5,308,201709
2017/8/22,SPF,-,-,-,-,0,2430.25,1,201809
2017/8/23,SPF,2450.5,2448,14.5,0.60%,68,2448,292,201709
2017/8/23,SPF,-,-,-,-,0,2444.75,1,201809
2017/8/24,SPF,2440,2439.5,-8.5,-0.35%,97,2439.5,307,201709
2017/8/24,SPF,-,-,-,-,0,2436.25,1,201809
2017/8/25,SPF,2440,2443,3.5,0.14%,21,2443,262,201709
2017/8/25,SPF,-,-,-,-,0,2439.75,1,201809
2017/8/28,SPF,2439.25,2439,-4,-0.16%,14,2439,246,201709
2017/8/28,SPF,-,-,-,-,0,2435.75,1,201809
